--- model size ---
model: 54,914,696
======= start training =======
epoch: 15 |   4/  5 | exp/workdir | batch/s: 4.49 | lr: 0.0002 | loss: 0.429 | time: 0:00:47.3 | step: 80
epoch: 16 |   0/  5 | exp/workdir | batch/s: 2.23 | lr: 0.0002 | loss: 0.482 | time: 0:00:47.8 | step: 81
epoch: 16 |   1/  5 | exp/workdir | batch/s: 2.39 | lr: 0.0002 | loss: 0.491 | time: 0:00:48.2 | step: 82
epoch: 16 |   2/  5 | exp/workdir | batch/s: 2.45 | lr: 0.0002 | loss: 0.458 | time: 0:00:48.6 | step: 83
epoch: 16 |   3/  5 | exp/workdir | batch/s: 2.45 | lr: 0.0002 | loss: 0.463 | time: 0:00:49.0 | step: 84
epoch: 16 |   4/  5 | exp/workdir | batch/s: 4.23 | lr: 0.0002 | loss: 0.518 | time: 0:00:49.2 | step: 85
epoch: 17 |   0/  5 | exp/workdir | batch/s: 2.15 | lr: 0.0002 | loss: 0.475 | time: 0:00:49.7 | step: 86
epoch: 17 |   1/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.457 | time: 0:00:50.1 | step: 87
epoch: 17 |   2/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.459 | time: 0:00:50.6 | step: 88
epoch: 17 |   3/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.454 | time: 0:00:51.0 | step: 89
epoch: 17 |   4/  5 | exp/workdir | batch/s: 4.19 | lr: 0.0002 | loss: 0.517 | time: 0:00:51.2 | step: 90
epoch: 18 |   0/  5 | exp/workdir | batch/s: 2.15 | lr: 0.0002 | loss: 0.430 | time: 0:00:51.7 | step: 91
epoch: 18 |   1/  5 | exp/workdir | batch/s: 2.39 | lr: 0.0002 | loss: 0.488 | time: 0:00:52.1 | step: 92
epoch: 18 |   2/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.474 | time: 0:00:52.5 | step: 93
epoch: 18 |   3/  5 | exp/workdir | batch/s: 2.36 | lr: 0.0002 | loss: 0.428 | time: 0:00:53.0 | step: 94
epoch: 18 |   4/  5 | exp/workdir | batch/s: 4.26 | lr: 0.0002 | loss: 0.400 | time: 0:00:53.2 | step: 95
epoch: 19 |   0/  5 | exp/workdir | batch/s: 2.23 | lr: 0.0002 | loss: 0.447 | time: 0:00:53.6 | step: 96
epoch: 19 |   1/  5 | exp/workdir | batch/s: 2.30 | lr: 0.0002 | loss: 0.421 | time: 0:00:54.1 | step: 97
epoch: 19 |   2/  5 | exp/workdir | batch/s: 2.31 | lr: 0.0002 | loss: 0.428 | time: 0:00:54.5 | step: 98
epoch: 19 |   3/  5 | exp/workdir | batch/s: 2.36 | lr: 0.0002 | loss: 0.438 | time: 0:00:54.9 | step: 99
epoch: 19 |   4/  5 | exp/workdir | batch/s: 4.37 | lr: 0.0002 | loss: 0.448 | time: 0:00:55.1 | step: 100
epoch: 20 |   0/  5 | exp/workdir | batch/s: 2.18 | lr: 0.0002 | loss: 0.492 | time: 0:00:55.6 | step: 101
epoch: 20 |   1/  5 | exp/workdir | batch/s: 2.39 | lr: 0.0002 | loss: 0.452 | time: 0:00:56.0 | step: 102
epoch: 20 |   2/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.433 | time: 0:00:56.5 | step: 103
epoch: 20 |   3/  5 | exp/workdir | batch/s: 2.29 | lr: 0.0002 | loss: 0.456 | time: 0:00:56.9 | step: 104
epoch: 20 |   4/  5 | exp/workdir | batch/s: 4.34 | lr: 0.0002 | loss: 0.437 | time: 0:00:57.1 | step: 105
epoch: 21 |   0/  5 | exp/workdir | batch/s: 2.19 | lr: 0.0002 | loss: 0.447 | time: 0:00:57.6 | step: 106
epoch: 21 |   1/  5 | exp/workdir | batch/s: 2.31 | lr: 0.0002 | loss: 0.447 | time: 0:00:58.0 | step: 107
epoch: 21 |   2/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.416 | time: 0:00:58.4 | step: 108
epoch: 21 |   3/  5 | exp/workdir | batch/s: 2.37 | lr: 0.0002 | loss: 0.468 | time: 0:00:58.9 | step: 109
epoch: 21 |   4/  5 | exp/workdir | batch/s: 4.29 | lr: 0.0002 | loss: 0.412 | time: 0:00:59.1 | step: 110
epoch: 22 |   0/  5 | exp/workdir | batch/s: 2.19 | lr: 0.0002 | loss: 0.413 | time: 0:00:59.5 | step: 111
epoch: 22 |   1/  5 | exp/workdir | batch/s: 2.37 | lr: 0.0002 | loss: 0.413 | time: 0:01:00.0 | step: 112
epoch: 22 |   2/  5 | exp/workdir | batch/s: 2.37 | lr: 0.0002 | loss: 0.485 | time: 0:01:00.4 | step: 113
epoch: 22 |   3/  5 | exp/workdir | batch/s: 2.30 | lr: 0.0002 | loss: 0.430 | time: 0:01:00.8 | step: 114
epoch: 22 |   4/  5 | exp/workdir | batch/s: 4.04 | lr: 0.0002 | loss: 0.327 | time: 0:01:01.0 | step: 115
epoch: 23 |   0/  5 | exp/workdir | batch/s: 2.27 | lr: 0.0002 | loss: 0.409 | time: 0:01:01.5 | step: 116
epoch: 23 |   1/  5 | exp/workdir | batch/s: 2.37 | lr: 0.0002 | loss: 0.413 | time: 0:01:01.9 | step: 117
epoch: 23 |   2/  5 | exp/workdir | batch/s: 2.36 | lr: 0.0002 | loss: 0.436 | time: 0:01:02.3 | step: 118
epoch: 23 |   3/  5 | exp/workdir | batch/s: 2.44 | lr: 0.0002 | loss: 0.430 | time: 0:01:02.8 | step: 119
epoch: 23 |   4/  5 | exp/workdir | batch/s: 3.97 | lr: 0.0002 | loss: 0.476 | time: 0:01:03.0 | step: 120
epoch: 24 |   0/  5 | exp/workdir | batch/s: 2.30 | lr: 0.0002 | loss: 0.421 | time: 0:01:03.4 | step: 121
epoch: 24 |   1/  5 | exp/workdir | batch/s: 2.37 | lr: 0.0002 | loss: 0.430 | time: 0:01:03.9 | step: 122
epoch: 24 |   2/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.414 | time: 0:01:04.3 | step: 123
epoch: 24 |   3/  5 | exp/workdir | batch/s: 2.29 | lr: 0.0002 | loss: 0.414 | time: 0:01:04.7 | step: 124
epoch: 24 |   4/  5 | exp/workdir | batch/s: 4.53 | lr: 0.0002 | loss: 0.395 | time: 0:01:04.9 | step: 125
epoch: 25 |   0/  5 | exp/workdir | batch/s: 2.22 | lr: 0.0002 | loss: 0.448 | time: 0:01:05.4 | step: 126
epoch: 25 |   1/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.428 | time: 0:01:05.8 | step: 127
epoch: 25 |   2/  5 | exp/workdir | batch/s: 2.37 | lr: 0.0002 | loss: 0.387 | time: 0:01:06.2 | step: 128
epoch: 25 |   3/  5 | exp/workdir | batch/s: 2.37 | lr: 0.0002 | loss: 0.399 | time: 0:01:06.7 | step: 129
epoch: 25 |   4/  5 | exp/workdir | batch/s: 4.04 | lr: 0.0002 | loss: 0.363 | time: 0:01:06.9 | step: 130
epoch: 26 |   0/  5 | exp/workdir | batch/s: 2.29 | lr: 0.0002 | loss: 0.429 | time: 0:01:07.4 | step: 131
epoch: 26 |   1/  5 | exp/workdir | batch/s: 2.36 | lr: 0.0002 | loss: 0.438 | time: 0:01:07.8 | step: 132
epoch: 26 |   2/  5 | exp/workdir | batch/s: 2.36 | lr: 0.0002 | loss: 0.411 | time: 0:01:08.2 | step: 133
epoch: 26 |   3/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.431 | time: 0:01:08.6 | step: 134
epoch: 26 |   4/  5 | exp/workdir | batch/s: 4.22 | lr: 0.0002 | loss: 0.319 | time: 0:01:08.8 | step: 135
epoch: 27 |   0/  5 | exp/workdir | batch/s: 2.22 | lr: 0.0002 | loss: 0.434 | time: 0:01:09.3 | step: 136
epoch: 27 |   1/  5 | exp/workdir | batch/s: 2.44 | lr: 0.0002 | loss: 0.394 | time: 0:01:09.7 | step: 137
epoch: 27 |   2/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.423 | time: 0:01:10.1 | step: 138
epoch: 27 |   3/  5 | exp/workdir | batch/s: 2.28 | lr: 0.0002 | loss: 0.409 | time: 0:01:10.6 | step: 139
epoch: 27 |   4/  5 | exp/workdir | batch/s: 4.12 | lr: 0.0002 | loss: 0.424 | time: 0:01:10.8 | step: 140
epoch: 28 |   0/  5 | exp/workdir | batch/s: 2.25 | lr: 0.0002 | loss: 0.414 | time: 0:01:11.3 | step: 141
epoch: 28 |   1/  5 | exp/workdir | batch/s: 2.37 | lr: 0.0002 | loss: 0.449 | time: 0:01:11.7 | step: 142
epoch: 28 |   2/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.412 | time: 0:01:12.1 | step: 143
epoch: 28 |   3/  5 | exp/workdir | batch/s: 2.30 | lr: 0.0002 | loss: 0.424 | time: 0:01:12.5 | step: 144
epoch: 28 |   4/  5 | exp/workdir | batch/s: 4.13 | lr: 0.0002 | loss: 0.377 | time: 0:01:12.8 | step: 145
epoch: 29 |   0/  5 | exp/workdir | batch/s: 2.24 | lr: 0.0002 | loss: 0.395 | time: 0:01:13.2 | step: 146
epoch: 29 |   1/  5 | exp/workdir | batch/s: 2.36 | lr: 0.0002 | loss: 0.413 | time: 0:01:13.7 | step: 147
epoch: 29 |   2/  5 | exp/workdir | batch/s: 2.29 | lr: 0.0002 | loss: 0.412 | time: 0:01:14.1 | step: 148
epoch: 29 |   3/  5 | exp/workdir | batch/s: 2.37 | lr: 0.0002 | loss: 0.398 | time: 0:01:14.5 | step: 149
epoch: 29 |   4/  5 | exp/workdir | batch/s: 4.06 | lr: 0.0002 | loss: 0.357 | time: 0:01:14.7 | step: 150
epoch: 30 |   0/  5 | exp/workdir | batch/s: 2.25 | lr: 0.0002 | loss: 0.382 | time: 0:01:15.2 | step: 151
epoch: 30 |   1/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.386 | time: 0:01:15.6 | step: 152
epoch: 30 |   2/  5 | exp/workdir | batch/s: 2.28 | lr: 0.0002 | loss: 0.403 | time: 0:01:16.1 | step: 153
epoch: 30 |   3/  5 | exp/workdir | batch/s: 2.31 | lr: 0.0002 | loss: 0.393 | time: 0:01:16.5 | step: 154
epoch: 30 |   4/  5 | exp/workdir | batch/s: 3.82 | lr: 0.0002 | loss: 0.404 | time: 0:01:16.7 | step: 155
epoch: 31 |   0/  5 | exp/workdir | batch/s: 2.20 | lr: 0.0002 | loss: 0.390 | time: 0:01:17.2 | step: 156
epoch: 31 |   1/  5 | exp/workdir | batch/s: 2.21 | lr: 0.0002 | loss: 0.371 | time: 0:01:17.7 | step: 157
epoch: 31 |   2/  5 | exp/workdir | batch/s: 2.28 | lr: 0.0002 | loss: 0.428 | time: 0:01:18.1 | step: 158
epoch: 31 |   3/  5 | exp/workdir | batch/s: 2.28 | lr: 0.0002 | loss: 0.410 | time: 0:01:18.6 | step: 159
epoch: 31 |   4/  5 | exp/workdir | batch/s: 3.71 | lr: 0.0002 | loss: 0.338 | time: 0:01:18.8 | step: 160
epoch: 32 |   0/  5 | exp/workdir | batch/s: 2.13 | lr: 0.0002 | loss: 0.405 | time: 0:01:19.3 | step: 161
epoch: 32 |   1/  5 | exp/workdir | batch/s: 2.29 | lr: 0.0002 | loss: 0.387 | time: 0:01:19.7 | step: 162
epoch: 32 |   2/  5 | exp/workdir | batch/s: 2.26 | lr: 0.0002 | loss: 0.384 | time: 0:01:20.2 | step: 163
epoch: 32 |   3/  5 | exp/workdir | batch/s: 2.27 | lr: 0.0002 | loss: 0.402 | time: 0:01:20.6 | step: 164
epoch: 32 |   4/  5 | exp/workdir | batch/s: 4.04 | lr: 0.0002 | loss: 0.327 | time: 0:01:20.8 | step: 165
epoch: 33 |   0/  5 | exp/workdir | batch/s: 2.11 | lr: 0.0002 | loss: 0.391 | time: 0:01:21.3 | step: 166
epoch: 33 |   1/  5 | exp/workdir | batch/s: 2.22 | lr: 0.0002 | loss: 0.410 | time: 0:01:21.8 | step: 167
epoch: 33 |   2/  5 | exp/workdir | batch/s: 2.29 | lr: 0.0002 | loss: 0.395 | time: 0:01:22.2 | step: 168
epoch: 33 |   3/  5 | exp/workdir | batch/s: 2.37 | lr: 0.0002 | loss: 0.403 | time: 0:01:22.6 | step: 169
epoch: 33 |   4/  5 | exp/workdir | batch/s: 4.00 | lr: 0.0002 | loss: 0.351 | time: 0:01:22.9 | step: 170
epoch: 34 |   0/  5 | exp/workdir | batch/s: 2.15 | lr: 0.0002 | loss: 0.384 | time: 0:01:23.3 | step: 171
epoch: 34 |   1/  5 | exp/workdir | batch/s: 2.34 | lr: 0.0002 | loss: 0.417 | time: 0:01:23.8 | step: 172
epoch: 34 |   2/  5 | exp/workdir | batch/s: 2.20 | lr: 0.0002 | loss: 0.366 | time: 0:01:24.2 | step: 173
epoch: 34 |   3/  5 | exp/workdir | batch/s: 2.38 | lr: 0.0002 | loss: 0.359 | time: 0:01:24.6 | step: 174
epoch: 34 |   4/  5 | exp/workdir | batch/s: 4.29 | lr: 0.0002 | loss: 0.328 | time: 0:01:24.9 | step: 175
epoch: 35 |   0/  5 | exp/workdir | batch/s: 2.21 | lr: 0.0002 | loss: 0.428 | time: 0:01:25.3 | step: 176
epoch: 35 |   1/  5 | exp/workdir | batch/s: 2.27 | lr: 0.0002 | loss: 0.385 | time: 0:01:25.8 | step: 177
epoch: 35 |   2/  5 | exp/workdir | batch/s: 2.28 | lr: 0.0002 | loss: 0.404 | time: 0:01:26.2 | step: 178
epoch: 35 |   3/  5 | exp/workdir | batch/s: 2.36 | lr: 0.0002 | loss: 0.432 | time: 0:01:26.6 | step: 179
